file_name,Hue_L,Hue_H,Saturation_L,Saturation_H,Brightness_L,Brightness_H,Method
20240730_102159.jpg,30,140,0,255,0,149,Automatic
20240730_102638.jpg,30,108,0,255,0,149,Automatic
20240730_102812.jpg,30,130,0,255,0,151,Automatic
20240730_103151.jpg,30,103,0,255,0,162,Automatic
20240730_103930.jpg,30,100,0,255,0,168,Automatic
20240730_103937.jpg,30,98,0,255,0,164,Automatic
20240730_104551.jpg,30,113,0,255,0,148,Automatic
20240730_104639.jpg,30,128,0,255,0,159,Automatic
20240730_104716.jpg,30,99,0,255,0,174,Automatic
20240730_104845.jpg,30,103,0,255,0,169,Automatic
20240730_104854.jpg,30,107,0,255,0,150,Automatic
20240730_104928.jpg,30,106,0,255,0,171,Automatic
20240730_104946.jpg,30,113,0,255,0,159,Automatic
20240730_105002.jpg,30,108,0,255,0,147,Automatic
20240730_105019.jpg,30,106,0,255,0,181,Automatic
20240730_105024.jpg,30,130,110,255,0,255,Manual
20240730_105040.jpg,30,130,110,255,0,255,Manual
20240730_105123.jpg,30,102,0,255,0,180,Automatic
20240730_105154.jpg,30,105,0,255,0,181,Automatic
20240730_105214.jpg,30,103,0,255,0,173,Automatic
20240730_105225.jpg,30,100,0,255,0,181,Automatic
20240730_105226.jpg,30,102,0,255,0,168,Automatic
20240730_105238.jpg,30,108,0,255,0,170,Automatic
20240730_105344.jpg,30,104,0,255,0,191,Automatic
20240730_105600.jpg,30,114,0,255,0,160,Automatic
20240730_105622.jpg,30,114,0,255,0,145,Automatic
20240730_105628.jpg,30,109,0,255,0,147,Automatic
20240730_105653.jpg,30,130,110,255,0,255,Manual
20240730_105706.jpg,30,112,0,255,0,175,Automatic
20240730_105726.jpg,30,108,0,255,0,191,Automatic
20240730_105743.jpg,30,130,110,255,0,255,Manual
20240730_105756.jpg,30,117,0,255,0,183,Automatic
20240730_105814.jpg,30,112,0,255,0,164,Automatic
20240730_105839.jpg,30,115,0,255,0,161,Automatic
20240730_105923.jpg,30,111,0,255,0,167,Automatic
20240730_105932.jpg,30,125,0,255,0,147,Automatic
20240730_105941.jpg,30,127,0,255,0,143,Automatic
20240730_105956.jpg,30,106,0,255,0,167,Automatic
20240730_110147.jpg,30,115,0,255,0,159,Automatic
20240730_110407.jpg,30,130,110,255,0,255,Manual
